Timestamp,Winner Name,Loser Name,Result,Was this a Dragon Match?,"If this was a Dragon Match, who was the Dragon?",Notes,Was this a field stip match? ,Comeback Pack,Script Handled,Bot Messaged,Reward Selected
5/28/2025 19:59:00,Maranda L - BlackCanary#59791,Cameron B - KingEggbert#01276,2-1,,,,No,SNC,1,1,
5/28/2025 21:00:28,Eric S - Smitte#94855,Aaron R - Arn#51224,2-1,,,"Epic match, GGs sorry about the land g1",No,SNC,1,1,
5/28/2025 21:26:09,Joe T - elasticity#07466,Chris R - Sinkwater#27508,2-0,,,,No,DMU,1,1,
5/28/2025 21:58:46,Chris R - Sinkwater#27508,Colton S - ColtonCooper#56958,2-0,,,,No,STX,1,1,
5/28/2025 22:48:13,Sylvain T - Iquitos#15484,Chris R - Sinkwater#27508,2-1,,,GGS!,No,MID,1,1,
5/28/2025 23:07:38,Matt St - bubbasbums#70462,Preston B - Vorbis#46420,2-1,,,,Yes,MID,1,1,
5/28/2025 23:40:50,Emmett F - Sepulchure#51526,Matthew G - iluvatar777#20638,2-1,,,,No,MID,1,1,
5/28/2025 23:52:23,Maxime R - tasigurr#89921,Chris Y - Yorke on Games#66909,2-0,,,,No,STX,1,1,
5/29/2025 12:04:18,Chris O - Chriso91#46230,Sylvain T - Iquitos#15484,2-0,,,,No,SNC,1,1,
5/29/2025 12:14:25,Dirk E - BegginBlue#16667,Jacob B - Jacobbarnett15#95139,2-1,,,GG,No,MID,1,1,
5/29/2025 13:37:15,Daniel G - FriskyHobbit#43185,Cody-Rayce MG - Rayce#56572,2-1,,,,No,STX,1,1,
5/29/2025 16:13:00,David W - dwchief#36641,Eric S - Smitte#94855,2-1,,,GGs!,No,SNC,1,1,
5/29/2025 17:09:57,Joseph S - NotSham#89034,Chris P - Joker01#66827,2-1,,,,No,SNC,1,1,
5/29/2025 17:18:00,Stephen H - Crayth#38098,Brett C - EwoksRBae#03223,2-0,,,,No,NEO,1,1,
5/29/2025 17:57:24,Maxime R - tasigurr#89921,Christopher G - oompaloompa#65002,2-1,,,,No,STX,1,1,
5/29/2025 17:59:52,Matthias H - Rezreh#11308,Joseph S - NotSham#89034,2-0,,,,No,NEO,1,1,
5/29/2025 18:36:39,Enrique O - Caex#39549,Jacob H - Jahbna#39577,2-0,,,,Yes,DMU,1,1,
5/29/2025 19:14:54,Enrique O - Caex#39549,Joel G - DandelionsOut#82916,2-0,,,"Joel had to leave during game 2, I was up 1-0 and he conceded",Yes,MID,1,1,
